status-id,status-label,Description
"1,02",step01-definition-approved,definição aprovada
"1,06",step01-definition-stop,"definição congelada, aguardando novo planejamento"
"2,02",step02-makefile-homologated,makefile homologado
"2,04",step02-makefile-working,makefile em andamento
"3,02",step03-summary-published,resumo estatístico publicado
"3,04",step03-layers-published,mapas dos layers publicado
"4,02",step04-licence-prepublished,licença pré-publicada
"4,04",step04-licence-homologated,licença homologada (pelo fornecedor)
"4,06",step04-pack-registered,Registro oficial do pacote realizado
"4,08",step04-pack-preserved,Preservação do pacote disparada de forma não-reversível.